fra;jour;n_dose1;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel;couv_dose1;couv_complet;couv_rappel;couv_2_rappel;couv_rappel_biv;couv_3_rappel
FR;2020-12-27;616;55;0;0;0;0;616;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2020-12-28;710;44;0;0;0;0;1326;99;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2020-12-29;390;19;0;0;0;0;1716;118;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2020-12-30;456;20;0;0;0;0;2172;138;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2020-12-31;451;21;0;0;0;0;2623;159;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-01;1199;66;0;0;0;0;3822;225;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-02;370;29;0;0;0;0;4192;254;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-03;419;23;0;0;0;0;4611;277;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-04;2152;51;0;0;0;0;6763;328;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-05;7794;128;0;0;0;0;14557;456;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-06;12491;128;0;0;0;0;27048;584;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-07;29481;160;0;0;0;0;56529;744;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;2021-01-08;37170;205;0;0;0;0;93699;949;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;2021-01-09;11221;77;0;0;0;0;104920;1026;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
FR;2021-01-10;6017;28;0;0;0;0;110937;1054;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
FR;2021-01-11;39956;232;0;0;0;0;150893;1286;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
FR;2021-01-12;62166;296;0;0;0;0;213059;1582;0;0;0;0;0.3;0.0;0.0;0.0;0.0;0.0
FR;2021-01-13;65150;432;0;0;0;0;278209;2014;0;0;0;0;0.4;0.0;0.0;0.0;0.0;0.0
FR;2021-01-14;83109;1166;0;0;0;0;361318;3180;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
FR;2021-01-15;69040;555;0;0;0;0;430358;3735;0;0;0;0;0.6;0.0;0.0;0.0;0.0;0.0
FR;2021-01-16;20219;183;0;0;0;0;450577;3918;0;0;0;0;0.7;0.0;0.0;0.0;0.0;0.0
FR;2021-01-17;10993;137;0;0;0;0;461570;4055;0;0;0;0;0.7;0.0;0.0;0.0;0.0;0.0
FR;2021-01-18;85924;614;0;0;0;0;547494;4669;0;0;0;0;0.8;0.0;0.0;0.0;0.0;0.0
FR;2021-01-19;130616;860;0;0;0;0;678110;5529;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
FR;2021-01-20;137578;836;0;0;0;0;815688;6365;0;0;0;0;1.2;0.0;0.0;0.0;0.0;0.0
FR;2021-01-21;158435;947;0;0;0;0;974123;7312;0;0;0;0;1.4;0.0;0.0;0.0;0.0;0.0
FR;2021-01-22;121091;846;0;0;0;0;1095214;8158;0;0;0;0;1.6;0.0;0.0;0.0;0.0;0.0
FR;2021-01-23;38494;223;0;0;0;0;1133708;8381;0;0;0;0;1.7;0.0;0.0;0.0;0.0;0.0
