dep;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;2023-07-10;493049;488417;371538;87567;52452;18024;665391.0;74.1;73.4;55.8;13.2;7.9;2.7
02;2023-07-10;419878;415358;329138;79335;44654;17687;524403.0;80.1;79.2;62.8;15.1;8.5;3.4
03;2023-07-10;274042;271471;222669;60840;34662;12447;331757.0;82.6;81.8;67.1;18.3;10.4;3.8
04;2023-07-10;120596;118949;91212;23762;13809;5059;165582.0;72.8;71.8;55.1;14.4;8.3;3.1
05;2023-07-10;110642;109210;83199;20983;12298;4349;141059.0;78.4;77.4;59.0;14.9;8.7;3.1
06;2023-07-10;865939;854156;654851;161217;91432;36458;1103555.0;78.5;77.4;59.3;14.6;8.3;3.3
07;2023-07-10;253166;250419;194095;50921;29999;10606;330865.0;76.5;75.7;58.7;15.4;9.1;3.2
08;2023-07-10;213462;211304;168848;43904;24856;9844;265285.0;80.5;79.7;63.6;16.5;9.4;3.7
09;2023-07-10;115382;114015;89242;23060;13138;4576;153126.0;75.4;74.5;58.3;15.1;8.6;3.0
10;2023-07-10;238489;236097;187124;46891;27265;9765;311083.0;76.7;75.9;60.2;15.1;8.8;3.1
11;2023-07-10;292123;288610;226139;62010;36161;13873;379844.0;76.9;76.0;59.5;16.3;9.5;3.7
12;2023-07-10;221191;218791;172344;43033;25602;7888;280254.0;78.9;78.1;61.5;15.4;9.1;2.8
13;2023-07-10;1508453;1485414;1103333;243086;144139;50719;2062499.0;73.1;72.0;53.5;11.8;7.0;2.5
14;2023-07-10;583023;577595;469409;126707;78746;29988;695310.0;83.9;83.1;67.5;18.2;11.3;4.3
15;2023-07-10;120029;118998;97838;25117;14484;4745;143280.0;83.8;83.1;68.3;17.5;10.1;3.3
16;2023-07-10;288488;285548;232051;70237;41392;17522;350298.0;82.4;81.5;66.2;20.1;11.8;5.0
17;2023-07-10;563460;557945;449690;144652;88752;38263;659482.0;85.4;84.6;68.2;21.9;13.5;5.8
18;2023-07-10;242807;240430;196683;57065;31538;13515;296904.0;81.8;81.0;66.2;19.2;10.6;4.6
19;2023-07-10;196113;194173;156956;42903;25869;9531;238445.0;82.2;81.4;65.8;18.0;10.8;4.0
21;2023-07-10;422240;417962;330218;90741;57350;21289;534424.0;79.0;78.2;61.8;17.0;10.7;4.0
22;2023-07-10;516707;511318;416132;121363;74384;28763;601354.0;85.9;85.0;69.2;20.2;12.4;4.8
23;2023-07-10;92440;91514;75628;21649;11224;4268;113711.0;81.3;80.5;66.5;19.0;9.9;3.8
24;2023-07-10;336093;332189;268636;80011;46215;18932;411087.0;81.8;80.8;65.3;19.5;11.2;4.6
25;2023-07-10;405301;401272;304154;70647;41297;13885;547572.0;74.0;73.3;55.5;12.9;7.5;2.5
26;2023-07-10;399408;395016;299926;75322;45103;16458;524506.0;76.1;75.3;57.2;14.4;8.6;3.1
27;2023-07-10;481979;477089;375721;93789;55554;21776;593885.0;81.2;80.3;63.3;15.8;9.4;3.7
28;2023-07-10;344909;341300;271931;73207;43073;17961;427776.0;80.6;79.8;63.6;17.1;10.1;4.2
29;2023-07-10;783496;776168;638669;204230;130319;53961;922797.0;84.9;84.1;69.2;22.1;14.1;5.8
2A;2023-07-10;114610;112943;85826;15092;9126;2968;162314.0;70.6;69.6;52.9;9.3;5.6;1.8
2B;2023-07-10;123256;121422;92843;17924;10763;3579;187151.0;65.9;64.9;49.6;9.6;5.8;1.9
30;2023-07-10;586666;579266;446982;120479;73347;28011;753436.0;77.9;76.9;59.3;16.0;9.7;3.7
31;2023-07-10;1091271;1079802;828049;191531;121278;43733;1452055.0;75.2;74.4;57.0;13.2;8.4;3.0
32;2023-07-10;156408;154663;124442;34646;20364;7383;192279.0;81.3;80.4;64.7;18.0;10.6;3.8
33;2023-07-10;1347247;1332516;1046766;282182;180914;72528;1681330.0;80.1;79.3;62.3;16.8;10.8;4.3
34;2023-07-10;933097;922010;708577;186091;117870;45171;1217787.0;76.6;75.7;58.2;15.3;9.7;3.7
35;2023-07-10;893123;884842;698113;177000;113614;37907;1107860.0;80.6;79.9;63.0;16.0;10.3;3.4
36;2023-07-10;178431;176757;146563;41272;21964;8168;215031.0;83.0;82.2;68.2;19.2;10.2;3.8
37;2023-07-10;502357;497925;402194;122744;77026;33060;613406.0;81.9;81.2;65.6;20.0;12.6;5.4
38;2023-07-10;1012496;1002686;764430;191711;119428;43934;1285915.0;78.7;78.0;59.4;14.9;9.3;3.4
39;2023-07-10;200981;198907;154576;38205;22467;7463;257128.0;78.2;77.4;60.1;14.9;8.7;2.9
40;2023-07-10;357415;353922;283711;83261;51367;20221;422332.0;84.6;83.8;67.2;19.7;12.2;4.8
41;2023-07-10;272631;270033;220661;66288;39093;16546;325598.0;83.7;82.9;67.8;20.4;12.0;5.1
42;2023-07-10;594034;588453;450782;111815;66241;22550;767549.0;77.4;76.7;58.7;14.6;8.6;2.9
43;2023-07-10;178632;176930;135308;28462;16302;4803;227224.0;78.6;77.9;59.5;12.5;7.2;2.1
44;2023-07-10;1183942;1172879;921584;252969;167745;63836;1478101.0;80.1;79.4;62.3;17.1;11.3;4.3
45;2023-07-10;539418;533751;423522;119114;72073;30694;686200.0;78.6;77.8;61.7;17.4;10.5;4.5
46;2023-07-10;137736;136150;108884;30836;18234;6658;174522.0;78.9;78.0;62.4;17.7;10.4;3.8
47;2023-07-10;264038;260896;204666;52351;29950;10967;329135.0;80.2;79.3;62.2;15.9;9.1;3.3
48;2023-07-10;58278;57672;44665;10298;5857;1604;76573.0;76.1;75.3;58.3;13.4;7.6;2.1
49;2023-07-10;666950;661055;523587;143789;88674;33570;825241.0;80.8;80.1;63.4;17.4;10.7;4.1
50;2023-07-10;424032;420034;344894;94576;56710;20339;491281.0;86.3;85.5;70.2;19.3;11.5;4.1
51;2023-07-10;445138;440640;352585;96553;56959;23374;562545.0;79.1;78.3;62.7;17.2;10.1;4.2
52;2023-07-10;135621;134303;108997;27655;14882;5431;166343.0;81.5;80.7;65.5;16.6;8.9;3.3
53;2023-07-10;252704;250283;200569;47753;27699;8284;305870.0;82.6;81.8;65.6;15.6;9.1;2.7
54;2023-07-10;570110;564142;451925;121256;76947;30000;731006.0;78.0;77.2;61.8;16.6;10.5;4.1
55;2023-07-10;146040;144416;116925;31326;17400;6496;178156.0;82.0;81.1;65.6;17.6;9.8;3.6
56;2023-07-10;652890;646818;518794;151069;91100;34614;770921.0;84.7;83.9;67.3;19.6;11.8;4.5
57;2023-07-10;813106;804810;636691;143047;82087;26684;1044398.0;77.9;77.1;61.0;13.7;7.9;2.6
58;2023-07-10;165688;164086;136139;41792;22413;9319;199373.0;83.1;82.3;68.3;21.0;11.2;4.7
59;2023-07-10;2027409;2006512;1577565;385963;230062;86875;2606873.0;77.8;77.0;60.5;14.8;8.8;3.3
60;2023-07-10;637724;631007;483265;109060;63640;24203;833013.0;76.6;75.7;58.0;13.1;7.6;2.9
61;2023-07-10;227323;224979;182594;47739;26607;9509;273214.0;83.2;82.3;66.8;17.5;9.7;3.5
62;2023-07-10;1198867;1187666;956404;226481;131230;48857;1456555.0;82.3;81.5;65.7;15.5;9.0;3.4
63;2023-07-10;530497;525534;417657;106906;64515;24036;672494.0;78.9;78.1;62.1;15.9;9.6;3.6
64;2023-07-10;567355;561659;442290;119511;74082;27625;691770.0;82.0;81.2;63.9;17.3;10.7;4.0
65;2023-07-10;185478;183383;145728;37584;21352;7130;231014.0;80.3;79.4;63.1;16.3;9.2;3.1
66;2023-07-10;381947;377100;292175;80714;48521;19894;485396.0;78.7;77.7;60.2;16.6;10.0;4.1
67;2023-07-10;907298;898670;703724;166786;99020;34110;1156546.0;78.4;77.7;60.8;14.4;8.6;2.9
68;2023-07-10;568346;562201;434655;94103;54428;17276;768557.0;73.9;73.2;56.6;12.2;7.1;2.2
69;2023-07-10;1467740;1453121;1097989;269715;172680;65487;1912073.0;76.8;76.0;57.4;14.1;9.0;3.4
70;2023-07-10;184767;182907;145478;32336;17394;5746;232531.0;79.5;78.7;62.6;13.9;7.5;2.5
