fra;sexe;jour;n_dose1;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel;couv_dose1;couv_complet;couv_rappel;couv_2_rappel;couv_rappel_biv;couv_3_rappel
FR;1;2020-12-27;324;31;0;0;0;0;324;31;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2020-12-28;354;20;0;0;0;0;678;51;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2020-12-29;180;10;0;0;0;0;858;61;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2020-12-30;207;10;0;0;0;0;1065;71;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2020-12-31;208;10;0;0;0;0;1273;81;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-01;674;40;0;0;0;0;1947;121;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-02;186;15;0;0;0;0;2133;136;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-03;213;10;0;0;0;0;2346;146;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-04;1015;25;0;0;0;0;3361;171;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-05;3649;63;0;0;0;0;7010;234;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-06;5396;52;0;0;0;0;12406;286;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-07;11565;66;0;0;0;0;23971;352;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-08;14641;75;0;0;0;0;38612;427;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-09;5281;30;0;0;0;0;43893;457;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-10;2812;10;0;0;0;0;46705;467;0;0;0;0;0.1;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-11;15112;95;0;0;0;0;61817;562;0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-12;22324;109;0;0;0;0;84141;671;0;0;0;0;0.3;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-13;23605;155;0;0;0;0;107746;826;0;0;0;0;0.3;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-14;29318;443;0;0;0;0;137064;1269;0;0;0;0;0.4;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-15;24830;182;0;0;0;0;161894;1451;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-16;8740;84;0;0;0;0;170634;1535;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-17;4030;60;0;0;0;0;174664;1595;0;0;0;0;0.5;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-18;34937;229;0;0;0;0;209601;1824;0;0;0;0;0.6;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-19;50003;326;0;0;0;0;259604;2150;0;0;0;0;0.8;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-20;53298;294;0;0;0;0;312902;2444;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-21;59367;356;0;0;0;0;372269;2800;0;0;0;0;1.1;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-22;49325;310;0;0;0;0;421594;3110;0;0;0;0;1.3;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-23;17153;98;0;0;0;0;438747;3208;0;0;0;0;1.3;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-24;3919;98;0;0;0;0;442666;3306;0;0;0;0;1.4;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-25;33948;770;0;0;0;0;476614;4076;0;0;0;0;1.5;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-26;41328;1703;0;0;0;0;517942;5779;0;0;0;0;1.6;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-27;42382;2897;0;0;0;0;560324;8676;0;0;0;0;1.7;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-28;46746;6475;0;0;0;0;607070;15151;0;0;0;0;1.9;0.0;0.0;0.0;0.0;0.0
FR;1;2021-01-29;37608;7795;0;0;0;0;644678;22946;0;0;0;0;2.0;0.1;0.0;0.0;0.0;0.0
FR;1;2021-01-30;12929;2095;0;0;0;0;657607;25041;0;0;0;0;2.0;0.1;0.0;0.0;0.0;0.0
FR;1;2021-01-31;2101;838;0;0;0;0;659708;25879;0;0;0;0;2.0;0.1;0.0;0.0;0.0;0.0
FR;1;2021-02-01;23447;9064;0;0;0;0;683155;34943;0;0;0;0;2.1;0.1;0.0;0.0;0.0;0.0
FR;1;2021-02-02;30338;13883;0;0;0;0;713493;48826;0;0;0;0;2.2;0.1;0.0;0.0;0.0;0.0
FR;1;2021-02-03;29559;14882;0;0;0;0;743052;63708;0;0;0;0;2.3;0.2;0.0;0.0;0.0;0.0
FR;1;2021-02-04;32414;19408;0;0;0;0;775466;83116;0;0;0;0;2.4;0.3;0.0;0.0;0.0;0.0
FR;1;2021-02-05;28768;17443;0;0;0;0;804234;100559;0;0;0;0;2.5;0.3;0.0;0.0;0.0;0.0
FR;1;2021-02-06;10179;4872;0;0;0;0;814413;105431;0;0;0;0;2.5;0.3;0.0;0.0;0.0;0.0
FR;1;2021-02-07;2002;2328;0;0;0;0;816415;107759;0;0;0;0;2.5;0.3;0.0;0.0;0.0;0.0
FR;1;2021-02-08;20471;18405;0;0;0;0;836886;126164;0;0;0;0;2.6;0.4;0.0;0.0;0.0;0.0
FR;1;2021-02-09;27163;27299;0;0;0;0;864049;153463;0;0;0;0;2.6;0.5;0.0;0.0;0.0;0.0
FR;1;2021-02-10;28805;29216;0;0;0;0;892854;182679;0;0;0;0;2.7;0.6;0.0;0.0;0.0;0.0
FR;1;2021-02-11;34161;35334;0;0;0;0;927015;218013;0;0;0;0;2.8;0.7;0.0;0.0;0.0;0.0
FR;1;2021-02-12;31658;27967;0;0;0;0;958673;245980;0;0;0;0;2.9;0.8;0.0;0.0;0.0;0.0
FR;1;2021-02-13;9493;8467;0;0;0;0;968166;254447;0;0;0;0;3.0;0.8;0.0;0.0;0.0;0.0
FR;1;2021-02-14;2092;2717;0;0;0;0;970258;257164;0;0;0;0;3.0;0.8;0.0;0.0;0.0;0.0
FR;1;2021-02-15;15450;32890;0;0;0;0;985708;290054;0;0;0;0;3.0;0.9;0.0;0.0;0.0;0.0
FR;1;2021-02-16;20090;41271;0;0;0;0;1005798;331325;0;0;0;0;3.1;1.0;0.0;0.0;0.0;0.0
FR;1;2021-02-17;19918;43100;0;0;0;0;1025716;374425;0;0;0;0;3.1;1.1;0.0;0.0;0.0;0.0
FR;1;2021-02-18;26817;47802;0;0;0;0;1052533;422227;0;0;0;0;3.2;1.3;0.0;0.0;0.0;0.0
FR;1;2021-02-19;25676;37837;0;0;0;0;1078209;460064;0;0;0;0;3.3;1.4;0.0;0.0;0.0;0.0
FR;1;2021-02-20;7782;12636;0;0;0;0;1085991;472700;0;0;0;0;3.3;1.4;0.0;0.0;0.0;0.0
FR;1;2021-02-21;1415;2450;0;0;0;0;1087406;475150;0;0;0;0;3.3;1.5;0.0;0.0;0.0;0.0
FR;1;2021-02-22;15582;32546;0;0;0;0;1102988;507696;0;0;0;0;3.4;1.6;0.0;0.0;0.0;0.0
FR;1;2021-02-23;22462;36440;0;0;0;0;1125450;544136;0;0;0;0;3.4;1.7;0.0;0.0;0.0;0.0
FR;1;2021-02-24;25442;35234;0;0;0;0;1150892;579370;0;0;0;0;3.5;1.8;0.0;0.0;0.0;0.0
FR;1;2021-02-25;45725;38180;0;0;0;0;1196617;617550;0;0;0;0;3.7;1.9;0.0;0.0;0.0;0.0
FR;1;2021-02-26;53041;31087;0;0;0;0;1249658;648637;0;0;0;0;3.8;2.0;0.0;0.0;0.0;0.0
FR;1;2021-02-27;26078;10659;0;0;0;0;1275736;659296;0;0;0;0;3.9;2.0;0.0;0.0;0.0;0.0
FR;1;2021-02-28;2956;1744;0;0;0;0;1278692;661040;0;0;0;0;3.9;2.0;0.0;0.0;0.0;0.0
FR;1;2021-03-01;29606;24865;0;0;0;0;1308298;685905;0;0;0;0;4.0;2.1;0.0;0.0;0.0;0.0
FR;1;2021-03-02;46429;30306;0;0;0;0;1354727;716211;0;0;0;0;4.1;2.2;0.0;0.0;0.0;0.0
FR;1;2021-03-03;54222;29606;0;0;0;0;1408949;745817;0;0;0;0;4.3;2.3;0.0;0.0;0.0;0.0
FR;1;2021-03-04;77194;32204;0;0;0;0;1486143;778021;0;0;0;0;4.5;2.4;0.0;0.0;0.0;0.0
FR;1;2021-03-05;94117;29208;0;0;0;0;1580260;807229;0;0;0;0;4.8;2.5;0.0;0.0;0.0;0.0
FR;1;2021-03-06;99344;10142;0;0;0;0;1679604;817371;0;0;0;0;5.1;2.5;0.0;0.0;0.0;0.0
FR;1;2021-03-07;54462;3095;0;0;0;0;1734066;820466;0;0;0;0;5.3;2.5;0.0;0.0;0.0;0.0
FR;1;2021-03-08;47419;23485;0;0;0;0;1781485;843951;0;0;0;0;5.4;2.6;0.0;0.0;0.0;0.0
FR;1;2021-03-09;78015;26859;0;0;0;0;1859500;870810;0;0;0;0;5.7;2.7;0.0;0.0;0.0;0.0
FR;1;2021-03-10;81264;26852;0;0;0;0;1940764;897662;0;0;0;0;5.9;2.7;0.0;0.0;0.0;0.0
FR;1;2021-03-11;110559;29919;0;0;0;0;2051323;927581;0;0;0;0;6.3;2.8;0.0;0.0;0.0;0.0
FR;1;2021-03-12;136701;26474;0;0;0;0;2188024;954055;0;0;0;0;6.7;2.9;0.0;0.0;0.0;0.0
FR;1;2021-03-13;109418;9558;0;0;0;0;2297442;963613;0;0;0;0;7.0;2.9;0.0;0.0;0.0;0.0
FR;1;2021-03-14;28173;2197;0;0;0;0;2325615;965810;0;0;0;0;7.1;3.0;0.0;0.0;0.0;0.0
FR;1;2021-03-15;71023;15833;0;0;0;0;2396638;981643;0;0;0;0;7.3;3.0;0.0;0.0;0.0;0.0
FR;1;2021-03-16;60727;18453;0;0;0;0;2457365;1000096;0;0;0;0;7.5;3.1;0.0;0.0;0.0;0.0
FR;1;2021-03-17;63702;17814;0;0;0;0;2521067;1017910;0;0;0;0;7.7;3.1;0.0;0.0;0.0;0.0
FR;1;2021-03-18;70977;20556;0;0;0;0;2592044;1038466;0;0;0;0;7.9;3.2;0.0;0.0;0.0;0.0
FR;1;2021-03-19;102850;18585;0;0;0;0;2694894;1057051;0;0;0;0;8.2;3.2;0.0;0.0;0.0;0.0
FR;1;2021-03-20;76464;7009;0;0;0;0;2771358;1064060;0;0;0;0;8.5;3.3;0.0;0.0;0.0;0.0
FR;1;2021-03-21;21941;1693;0;0;0;0;2793299;1065753;0;0;0;0;8.5;3.3;0.0;0.0;0.0;0.0
FR;1;2021-03-22;75712;17224;0;0;0;0;2869011;1082977;0;0;0;0;8.8;3.3;0.0;0.0;0.0;0.0
FR;1;2021-03-23;113391;21840;0;0;0;0;2982402;1104817;0;0;0;0;9.1;3.4;0.0;0.0;0.0;0.0
FR;1;2021-03-24;116364;22487;0;0;0;0;3098766;1127304;0;0;0;0;9.5;3.4;0.0;0.0;0.0;0.0
FR;1;2021-03-25;155910;24358;0;0;0;0;3254676;1151662;0;0;0;0;9.9;3.5;0.0;0.0;0.0;0.0
FR;1;2021-03-26;162614;22888;0;0;0;0;3417290;1174550;0;0;0;0;10.4;3.6;0.0;0.0;0.0;0.0
FR;1;2021-03-27;86885;10291;0;0;0;0;3504175;1184841;0;0;0;0;10.7;3.6;0.0;0.0;0.0;0.0
FR;1;2021-03-28;25396;2868;0;0;0;0;3529571;1187709;0;0;0;0;10.8;3.6;0.0;0.0;0.0;0.0
FR;1;2021-03-29;88809;26288;0;0;0;0;3618380;1213997;0;0;0;0;11.1;3.7;0.0;0.0;0.0;0.0
FR;1;2021-03-30;124443;34658;0;0;0;0;3742823;1248655;0;0;0;0;11.4;3.8;0.0;0.0;0.0;0.0
FR;1;2021-03-31;111954;36142;0;0;0;0;3854777;1284797;0;0;0;0;11.8;3.9;0.0;0.0;0.0;0.0
FR;1;2021-04-01;133837;44827;0;0;0;0;3988614;1329624;0;0;0;0;12.2;4.1;0.0;0.0;0.0;0.0
FR;1;2021-04-02;120852;45233;0;0;0;0;4109466;1374857;0;0;0;0;12.6;4.2;0.0;0.0;0.0;0.0
FR;1;2021-04-03;62522;29220;0;0;0;0;4171988;1404077;0;0;0;0;12.7;4.3;0.0;0.0;0.0;0.0
FR;1;2021-04-04;20351;9064;0;0;0;0;4192339;1413141;0;0;0;0;12.8;4.3;0.0;0.0;0.0;0.0
FR;1;2021-04-05;27809;5693;0;0;0;0;4220148;1418834;0;0;0;0;12.9;4.3;0.0;0.0;0.0;0.0
FR;1;2021-04-06;93111;52716;0;0;0;0;4313259;1471550;0;0;0;0;13.2;4.5;0.0;0.0;0.0;0.0
FR;1;2021-04-07;109720;53591;0;0;0;0;4422979;1525141;0;0;0;0;13.5;4.7;0.0;0.0;0.0;0.0
FR;1;2021-04-08;143735;57936;0;0;0;0;4566714;1583077;0;0;0;0;14.0;4.8;0.0;0.0;0.0;0.0
FR;1;2021-04-09;181748;56458;0;0;0;0;4748462;1639535;0;0;0;0;14.5;5.0;0.0;0.0;0.0;0.0
FR;1;2021-04-10;96795;39291;0;0;0;0;4845257;1678826;0;0;0;0;14.8;5.1;0.0;0.0;0.0;0.0
FR;1;2021-04-11;24863;15909;0;0;0;0;4870120;1694735;0;0;0;0;14.9;5.2;0.0;0.0;0.0;0.0
FR;1;2021-04-12;104528;53806;0;0;0;0;4974648;1748541;0;0;0;0;15.2;5.3;0.0;0.0;0.0;0.0
FR;1;2021-04-13;137155;66844;0;0;0;0;5111803;1815385;0;0;0;0;15.6;5.5;0.0;0.0;0.0;0.0
FR;1;2021-04-14;128256;64672;0;0;0;0;5240059;1880057;0;0;0;0;16.0;5.7;0.0;0.0;0.0;0.0
