fra;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel
FR;1;2023-07-10;42709591;41590560;26849195;5903121;42633404;28949348;6175486;0;105071
FR;2;2023-07-10;6127332;6816302;10674488;331434;6162285;11787486;436800;0;6399
FR;3;2023-07-10;4416877;3441716;4463;2;3613812;2860;48;0;1
FR;4;2023-07-10;1082432;6981;1587;88;1083647;4375;593;0;20
FR;5;2023-07-10;278041;185714;3625;1024;224841;5382;1181;0;46
FR;6;2023-07-10;19393;14689;2387;3481;17769;3163;3754;0;1062
FR;8;2023-07-10;41588;58022;372241;3368135;35518;276773;3444785;5987090;2155648
FR;9;2023-07-10;1614;2114;15850;154264;1373;10566;156541;229194;60997
FR;10;2023-07-10;307;255;766;3493;186;575;3598;0;2215
FR;11;2023-07-10;43;32;21;1;32;19;2;0;0
FR;12;2023-07-10;460;642;1907;6988;406;1688;7523;29196;14825
FR;0;2023-07-10;54677681;52117030;37926532;9772035;53773279;41042237;10230314;6245480;2346287
