reg;vaccin;jour;n_dose1;n_dose2;n_dose3;n_dose4;n_complet;n_rappel;n_2_rappel;n_rappel_biv;n_3_rappel;n_cum_dose1;n_cum_dose2;n_cum_dose3;n_cum_dose4;n_cum_complet;n_cum_rappel;n_cum_2_rappel;n_cum_rappel_biv;n_cum_3_rappel
01;1;2020-12-27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01;1;2020-12-28;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01;1;2020-12-29;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01;1;2020-12-30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01;1;2020-12-31;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
01;1;2021-01-01;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
01;1;2021-01-02;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
01;1;2021-01-03;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
01;1;2021-01-04;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
01;1;2021-01-05;13;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0
01;1;2021-01-06;8;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0
01;1;2021-01-07;5;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0
01;1;2021-01-08;58;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0
01;1;2021-01-09;17;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0
01;1;2021-01-10;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0
01;1;2021-01-11;63;0;0;0;1;0;0;0;0;170;0;0;0;1;0;0;0;0
01;1;2021-01-12;51;0;0;0;0;0;0;0;0;221;0;0;0;1;0;0;0;0
01;1;2021-01-13;42;0;0;0;1;0;0;0;0;263;0;0;0;2;0;0;0;0
01;1;2021-01-14;65;0;0;0;0;0;0;0;0;328;0;0;0;2;0;0;0;0
01;1;2021-01-15;70;0;0;0;2;0;0;0;0;398;0;0;0;4;0;0;0;0
01;1;2021-01-16;1;0;0;0;0;0;0;0;0;399;0;0;0;4;0;0;0;0
01;1;2021-01-17;3;0;0;0;0;0;0;0;0;402;0;0;0;4;0;0;0;0
01;1;2021-01-18;81;0;0;0;2;0;0;0;0;483;0;0;0;6;0;0;0;0
01;1;2021-01-19;143;0;0;0;1;0;0;0;0;626;0;0;0;7;0;0;0;0
01;1;2021-01-20;141;0;0;0;0;0;0;0;0;767;0;0;0;7;0;0;0;0
01;1;2021-01-21;161;0;0;0;1;0;0;0;0;928;0;0;0;8;0;0;0;0
01;1;2021-01-22;122;0;0;0;0;0;0;0;0;1050;0;0;0;8;0;0;0;0
01;1;2021-01-23;3;0;0;0;0;0;0;0;0;1053;0;0;0;8;0;0;0;0
01;1;2021-01-24;1;0;0;0;0;0;0;0;0;1054;0;0;0;8;0;0;0;0
01;1;2021-01-25;175;0;0;0;2;0;0;0;0;1229;0;0;0;10;0;0;0;0
01;1;2021-01-26;208;0;0;0;2;0;0;0;0;1437;0;0;0;12;0;0;0;0
01;1;2021-01-27;219;1;0;0;2;0;0;0;0;1656;1;0;0;14;0;0;0;0
01;1;2021-01-28;206;1;0;0;3;0;0;0;0;1862;2;0;0;17;0;0;0;0
